,age,balance,contact,day,month,duration,campaign,pdays,previous,deposit,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,default_yes,housing_yes,loan_yes,poutcome_other,poutcome_success,poutcome_unknown
28,31,307,unknown,9,may,538,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
29,28,759,unknown,9,may,710,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
30,32,-1,unknown,9,may,653,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
31,60,65,unknown,9,may,1028,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
32,26,82,unknown,9,may,654,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
33,40,10,unknown,9,may,1692,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
34,33,390,unknown,9,may,665,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,32,311,unknown,12,may,757,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
36,35,414,unknown,13,may,504,4,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,33,5,unknown,13,may,1346,1,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
38,38,119,unknown,13,may,568,4,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
39,23,4,unknown,13,may,395,2,-1,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
40,60,1262,unknown,13,may,1015,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
41,48,1949,unknown,13,may,683,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
42,45,-395,unknown,13,may,470,1,-1,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
43,36,1165,unknown,13,may,1001,4,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
44,52,2240,unknown,13,may,845,1,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
45,35,300,unknown,13,may,945,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,43,3285,unknown,13,may,1721,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
47,52,3923,unknown,14,may,942,3,-1,0,yes,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
48,53,1443,unknown,14,may,476,1,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
49,48,24,unknown,14,may,832,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,41,1618,unknown,14,may,1553,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
51,39,517,unknown,14,may,1328,1,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
52,59,1521,unknown,14,may,1125,2,-1,0,yes,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
53,41,2823,unknown,14,may,858,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
54,48,1405,unknown,14,may,629,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
55,40,1535,unknown,14,may,704,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
56,48,1596,unknown,14,may,760,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
57,60,1542,unknown,14,may,930,1,-1,0,yes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
58,40,3652,unknown,14,may,1028,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
59,57,-1,unknown,14,may,850,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
60,51,7180,unknown,14,may,927,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
61,41,5291,unknown,14,may,1423,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
62,41,1384,unknown,15,may,1162,4,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
63,52,-191,unknown,15,may,755,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
64,59,320,unknown,15,may,695,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
65,44,146,unknown,15,may,483,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
66,49,341,unknown,15,may,520,2,-1,0,yes,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
67,40,-9,unknown,15,may,920,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
68,41,-306,unknown,15,may,500,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
69,44,4580,unknown,15,may,911,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
70,60,313,unknown,15,may,920,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
71,29,10576,unknown,15,may,1224,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
72,41,-233,unknown,15,may,1156,2,-1,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,41,2453,unknown,15,may,1052,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
74,42,1364,unknown,15,may,1867,6,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
75,36,281,unknown,16,may,515,1,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
76,39,94,unknown,16,may,813,1,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
77,31,144,unknown,16,may,676,1,-1,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
78,26,246,unknown,16,may,1143,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
79,31,92,unknown,16,may,688,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
80,29,163,unknown,16,may,803,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
81,37,49,unknown,16,may,619,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
82,33,-416,unknown,16,may,767,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
83,24,409,unknown,16,may,912,1,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
84,50,363,unknown,16,may,1340,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
85,27,3706,unknown,16,may,897,1,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
86,54,4393,unknown,16,may,1297,3,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
87,30,863,unknown,16,may,1193,5,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
88,34,695,unknown,16,may,1064,4,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
89,37,792,unknown,16,may,1187,4,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
90,41,1020,unknown,19,may,882,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
91,47,863,unknown,19,may,943,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
92,31,97,unknown,19,may,607,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
93,31,754,unknown,19,may,1022,4,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
94,43,1040,unknown,19,may,552,3,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
95,37,122,unknown,19,may,1622,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
96,30,880,unknown,19,may,967,6,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
97,41,501,unknown,19,may,579,5,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
98,36,4438,unknown,20,may,446,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
99,35,0,unknown,20,may,1205,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
100,29,271,unknown,20,may,1882,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
101,35,102,unknown,20,may,1334,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
102,31,2,unknown,20,may,182,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
103,35,4170,unknown,20,may,1777,1,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
104,34,85,unknown,20,may,1182,4,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
105,31,431,unknown,20,may,1045,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
106,44,982,unknown,20,may,650,3,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
107,36,408,unknown,20,may,1063,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
108,35,4822,unknown,20,may,843,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
109,41,1250,unknown,20,may,1392,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
110,31,216,unknown,21,may,565,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
111,34,1207,unknown,21,may,905,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
112,32,791,unknown,21,may,783,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
113,36,849,unknown,21,may,958,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
114,30,239,unknown,21,may,412,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
115,37,1211,unknown,21,may,795,1,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
116,36,599,unknown,21,may,649,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
117,31,825,unknown,21,may,506,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
118,27,2183,unknown,21,may,857,1,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1
119,34,4499,unknown,21,may,1681,1,-1,0,yes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
120,30,1289,unknown,21,may,1697,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
121,32,4665,unknown,21,may,860,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
122,37,3326,unknown,21,may,799,1,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
123,32,783,unknown,21,may,923,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
124,33,0,unknown,21,may,521,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
125,35,994,unknown,23,may,1349,8,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
126,35,1354,unknown,23,may,736,2,-1,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
127,30,239,unknown,23,may,785,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
128,45,-311,unknown,23,may,1030,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
129,45,149,unknown,23,may,893,3,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
130,33,1464,unknown,23,may,588,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
131,44,5773,unknown,23,may,597,6,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
132,40,278,unknown,23,may,1015,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
133,31,2910,unknown,23,may,1392,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
134,30,541,unknown,26,may,414,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
135,44,1262,unknown,26,may,788,11,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
136,34,-538,unknown,26,may,682,1,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
137,37,125,unknown,26,may,679,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
138,28,0,unknown,26,may,1560,2,-1,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
139,32,620,unknown,26,may,1234,3,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
140,37,316,unknown,26,may,642,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
141,34,2287,unknown,26,may,895,4,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
142,38,198,unknown,26,may,431,2,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
143,28,460,unknown,26,may,741,6,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
144,31,1145,unknown,26,may,1272,4,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
145,59,-22,unknown,26,may,748,3,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
146,24,685,unknown,26,may,896,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
147,26,901,unknown,26,may,764,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
148,59,351,unknown,27,may,1063,5,-1,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
149,30,0,unknown,27,may,1051,1,-1,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
150,37,274,unknown,27,may,731,3,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
151,30,-213,unknown,27,may,751,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
152,25,97,unknown,27,may,709,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
153,44,51,unknown,27,may,3094,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
154,29,314,unknown,28,may,938,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
155,26,6840,unknown,28,may,1560,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
156,26,668,unknown,28,may,576,3,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
157,27,54,unknown,28,may,543,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
158,25,1242,unknown,28,may,615,2,-1,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
159,28,292,unknown,28,may,507,1,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
160,23,665,unknown,28,may,1183,1,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
161,34,1058,unknown,28,may,864,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
162,28,949,unknown,28,may,1730,1,-1,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
163,51,606,unknown,28,may,560,9,-1,0,yes,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
164,35,0,unknown,29,may,543,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
165,35,404,unknown,29,may,539,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
166,56,249,unknown,29,may,791,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
167,45,3354,unknown,29,may,746,1,-1,0,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
168,60,0,unknown,29,may,1207,1,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
169,56,589,unknown,29,may,535,2,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
170,27,12956,unknown,29,may,789,3,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
171,30,873,unknown,29,may,792,3,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
172,45,594,unknown,29,may,833,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
173,29,-20,unknown,29,may,814,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
174,38,4692,unknown,29,may,1363,2,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
175,30,486,unknown,29,may,1109,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
176,44,1593,unknown,29,may,828,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
177,36,7606,unknown,30,may,917,1,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
178,38,226,unknown,30,may,762,3,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
179,36,366,unknown,30,may,1133,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
180,37,16,unknown,30,may,638,1,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
181,35,565,unknown,30,may,763,1,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
182,38,19,unknown,30,may,604,2,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
183,40,1082,unknown,30,may,854,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
184,42,1713,unknown,30,may,855,2,-1,0,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
185,46,14481,unknown,30,may,1269,1,-1,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
186,35,5724,unknown,30,may,691,10,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
187,34,1451,unknown,30,may,1097,15,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
188,32,-34,unknown,30,may,1236,2,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
189,50,3674,unknown,30,may,886,3,-1,0,yes,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
190,35,698,unknown,30,may,1343,3,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
191,36,4136,unknown,30,may,812,3,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
192,53,2656,unknown,30,may,1980,2,-1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
